Open,High,Low,Close,Volume,Date,POSITIONS,COST,ASSETS,PERCENTAGE
85.64,87.16,85.4,87.08,195613,2018-01-09,131.0,14915.16,11218.84,0.7521769796636443
88.12,89.214,85.76,86.24,326123,2018-01-10,131.0,14915.16,11543.720000000001,0.7739588445581543
85.44,86.0,84.96,85.72,166590,2018-01-11,131.0,14915.16,11192.64,0.7504203776560224
85.36,86.08,85.12,85.76,226409,2018-01-12,131.0,14915.16,11182.16,0.7497177368529737
86.32,91.96,86.12,91.04,673038,2018-01-16,131.0,14915.16,11307.919999999998,0.7581494264895582
90.0,92.56,87.12,88.92,661718,2018-01-17,131.0,14915.16,11790.0,0.790470903429799
90.48,92.32,88.0,89.36,663840,2018-01-18,131.0,14915.16,11852.880000000001,0.7946867482480913
89.12,90.84,88.72,89.04,360658,2018-01-19,131.0,14915.16,11674.720000000001,0.7827418545962632
89.68,89.68,86.38,87.16,299883,2018-01-22,142.0,15901.64,12734.560000000001,0.8008331216151291
88.08,89.52,87.36,88.56,402352,2018-01-23,142.0,15901.64,12507.36,0.7865452871527717
89.08,93.24,89.0,90.88,594144,2018-01-24,142.0,15901.64,12649.36,0.7954751836917451
90.4,93.92,90.32,92.4,444713,2018-01-25,142.0,15901.64,12836.800000000001,0.80726264712319
91.52,92.96,91.28,91.72,278245,2018-01-26,142.0,15901.64,12995.84,0.8172641312468399
93.96,98.6,90.2,98.4,397963,2018-01-29,152.0,16841.239999999998,14281.919999999998,0.8480325676731643
101.8,106.12,100.0,101.52,1073180,2018-01-30,152.0,16841.239999999998,15473.6,0.9187922029494267
99.32,102.4,97.92,99.2,583562,2018-01-31,152.0,16841.239999999998,15096.64,0.8964090530150988
100.0,100.96,92.98,96.16,820616,2018-02-01,152.0,16841.239999999998,15200.0,0.9025463683196725
99.08,111.2,99.08,109.24,1919343,2018-02-02,152.0,16841.239999999998,15060.16,0.8942429417311315
114.76,147.84,107.0,146.64,2516444,2018-02-05,160.0,17759.32,18361.600000000002,1.0339134606505205
180.32,183.44,140.0,141.88,2543046,2018-02-06,160.0,17759.32,28851.199999999997,1.624566706382902
148.96,150.4,134.76,147.48,1896477,2018-02-07,160.0,17759.32,23833.600000000002,1.3420333661423975
148.92,183.44,148.32,183.08,2272763,2018-02-08,160.0,17759.32,23827.199999999997,1.3416729919839272
167.64,187.36,161.21,165.64,894070,2018-02-09,160.0,17759.32,26822.399999999998,1.510328098147902
159.96,167.82,156.04,158.72,805692,2018-02-12,166.0,18719.079999999998,26553.36,1.4185184314613755
162.88,164.92,157.28,158.88,929754,2018-02-13,166.0,18719.079999999998,27038.079999999998,1.444412866444291
157.96,158.8,139.92,140.32,1132914,2018-02-14,166.0,18719.079999999998,26221.36,1.4007825170895152
135.8,143.08,135.28,137.6,505465,2018-02-15,166.0,18719.079999999998,22542.800000000003,1.2042685858493047
141.68,142.24,133.84,139.52,1009650,2018-02-16,166.0,18719.079999999998,23518.88,1.2564121741025736
144.44,149.24,141.64,145.56,764880,2018-02-20,166.0,18719.079999999998,23977.04,1.2808877359357407
143.64,148.2,135.8,147.48,807886,2018-02-21,166.0,18719.079999999998,23844.239999999998,1.2737933701869963
143.48,148.16,141.22,144.96,610723,2018-02-22,166.0,18719.079999999998,23817.679999999997,1.2723744970372475
141.64,142.68,133.84,133.96,541982,2018-02-23,166.0,18719.079999999998,23512.239999999998,1.2560574558151363
130.52,132.32,128.0,128.4,445655,2018-02-26,173.0,19632.719999999998,22579.960000000003,1.1501187812997897
130.56,142.0,128.92,140.48,687831,2018-02-27,173.0,19632.719999999998,22586.88,1.1504712541104851
136.44,147.04,136.0,146.76,609737,2018-02-28,173.0,19632.719999999998,23604.12,1.2022847572827404
146.44,163.48,145.12,156.72,1109661,2018-03-01,173.0,19632.719999999998,25334.12,1.290402959956644
164.24,167.84,149.0,150.48,753049,2018-03-02,173.0,19632.719999999998,28413.52,1.4472533607161924
153.16,153.24,142.4,143.48,680399,2018-03-05,179.0,20551.679999999997,27415.64,1.3339853481564525
142.48,149.68,142.4,144.56,471530,2018-03-06,179.0,20551.679999999997,25503.92,1.2409652154957649
150.52,151.44,142.22,142.92,546283,2018-03-07,179.0,20551.679999999997,26943.08,1.3109916074987547
140.8,142.44,137.52,137.6,312090,2018-03-08,179.0,20551.679999999997,25203.2,1.22633283507723
135.6,135.6,126.64,126.68,410653,2018-03-09,179.0,20551.679999999997,24272.399999999998,1.1810421337817638
129.0,133.36,127.96,131.96,329227,2018-03-12,186.0,21454.679999999997,23994.0,1.1183573933519402
129.64,136.64,128.48,134.8,394853,2018-03-13,186.0,21454.679999999997,24113.039999999997,1.1239058331329108
132.64,139.68,132.32,137.48,498163,2018-03-14,186.0,21454.679999999997,24671.039999999997,1.1499141446062118
135.68,138.88,132.02,133.24,356534,2018-03-15,186.0,21454.679999999997,25236.48,1.1762692335658236
132.44,132.68,127.96,131.08,341028,2018-03-16,186.0,21454.679999999997,24633.84,1.1481802571746587
133.84,149.76,133.6,143.28,966828,2018-03-19,193.0,22391.559999999998,25831.12,1.153609663641122
142.08,144.08,139.24,140.28,485103,2018-03-20,193.0,22391.559999999998,27421.440000000002,1.2246328527355845
138.96,139.84,130.88,138.68,824109,2018-03-21,193.0,22391.559999999998,26819.280000000002,1.1977405772532153
147.2,158.4,143.32,156.76,1148339,2018-03-22,193.0,22391.559999999998,28409.6,1.2687637663476774
153.96,166.0,150.28,165.6,1262650,2018-03-23,193.0,22391.559999999998,29714.280000000002,1.3270303632261444
154.08,163.72,152.76,152.76,870436,2018-03-26,199.0,23316.039999999997,30661.920000000002,1.3150569307652589
