OPEN,HIGH,LOW,CLOSE,Volume,Dividends,Stock Splits,CODES,DATES,POSITIONS,COST,ASSETS,PERCENTAGE
52.1500,52.2100,51.6100,51.8400,48659100,0.0000,0,QQQ,2011-04-04,90.0000,4647.9000,4693.5000,1.0098
51.7400,52.0400,51.5900,51.7000,55349400,0.0000,0,QQQ,2011-04-05,90.0000,4647.9000,4656.6000,1.0019
52.1000,52.2500,51.5300,51.8300,49532100,0.0000,0,QQQ,2011-04-06,90.0000,4647.9000,4689.0000,1.0088
51.8100,52.1400,51.4200,51.7900,60697000,0.0000,0,QQQ,2011-04-07,90.0000,4647.9000,4662.9000,1.0032
52.0300,52.1100,51.2800,51.5500,42782200,0.0000,0,QQQ,2011-04-08,90.0000,4647.9000,4682.7000,1.0075
51.7500,51.8500,51.1900,51.3800,42451700,0.0000,0,QQQ,2011-04-11,100.0000,5165.4000,5175.0000,1.0019
51.1400,51.2700,50.8200,51.0200,50422800,0.0000,0,QQQ,2011-04-12,100.0000,5165.4000,5114.0000,0.9900
51.4000,51.5900,51.0500,51.4600,49979800,0.0000,0,QQQ,2011-04-13,100.0000,5165.4000,5140.0000,0.9951
51.1000,51.4400,50.9000,51.3700,53544100,0.0000,0,QQQ,2011-04-14,100.0000,5165.4000,5110.0000,0.9893
51.1700,51.4700,50.9400,51.2800,68530000,0.0000,0,QQQ,2011-04-15,100.0000,5165.4000,5117.0000,0.9906
50.7600,50.9300,50.0700,50.9100,69065000,0.0000,0,QQQ,2011-04-18,110.0000,5673.0000,5583.6000,0.9842
51.0500,51.2300,50.7800,51.2300,38608400,0.0000,0,QQQ,2011-04-19,110.0000,5673.0000,5615.5000,0.9899
52.1400,52.4400,52.0700,52.3900,67397500,0.0000,0,QQQ,2011-04-20,110.0000,5673.0000,5735.4000,1.0110
52.9000,52.9200,52.6400,52.8100,43666800,0.0000,0,QQQ,2011-04-21,110.0000,5673.0000,5819.0000,1.0257
52.8500,52.9700,52.7500,52.9400,25376800,0.0000,0,QQQ,2011-04-25,120.0000,6201.5000,6342.0000,1.0227
53.0800,53.4300,52.9600,53.2400,49400000,0.0000,0,QQQ,2011-04-26,120.0000,6201.5000,6369.6000,1.0271
53.3400,53.6700,53.1000,53.6000,56465500,0.0000,0,QQQ,2011-04-27,120.0000,6201.5000,6400.8000,1.0321
53.4400,53.6100,53.2900,53.5200,48100000,0.0000,0,QQQ,2011-04-28,120.0000,6201.5000,6412.8000,1.0341
53.4200,53.6700,53.3800,53.4800,44831200,0.0000,0,QQQ,2011-04-29,120.0000,6201.5000,6410.4000,1.0337
53.5600,53.7100,53.2400,53.3800,48149400,0.0000,0,QQQ,2011-05-02,130.0000,6737.1000,6962.8000,1.0335
