Open,High,Low,Close,Volume,Date,POSITIONS,COST,ASSETS,PERCENTAGE
110.8,112.0,109.04,109.44,2510055,2018-04-24,295.0,27516.000000000004,32686.0,1.1878906817851431
109.52,110.08,108.36,109.76,1707313,2018-04-25,295.0,27516.000000000004,32308.399999999998,1.1741677569414157
110.64,110.72,109.36,110.16,2151707,2018-04-26,295.0,27516.000000000004,32638.8,1.186175316179677
109.44,110.4,109.38,109.84,1601478,2018-04-27,295.0,27516.000000000004,32284.8,1.1733100741386828
108.96,112.0,108.8,110.4,3617162,2018-04-30,304.0,28496.640000000003,33123.84,1.162377038135022
109.52,109.6,108.0,108.88,2011511,2018-05-01,304.0,28496.640000000003,33294.08,1.168351075775951
108.48,110.04,108.08,109.36,1727873,2018-05-02,304.0,28496.640000000003,32977.92,1.1572564344427974
109.04,110.77,108.62,110.56,1519749,2018-05-03,304.0,28496.640000000003,33148.16,1.1632304720837263
110.64,113.04,110.62,112.72,2346757,2018-05-04,304.0,28496.640000000003,33634.56,1.1802991510578087
113.52,114.4,112.24,112.8,3598651,2018-05-07,312.0,29404.800000000003,35418.24,1.204505386875612
113.44,113.75,109.24,112.48,6607808,2018-05-08,312.0,29404.800000000003,35393.28,1.2036565458700619
114.16,115.28,114.08,114.96,2435308,2018-05-09,312.0,29404.800000000003,35617.92,1.211296114920013
115.04,115.52,114.0,115.28,1953385,2018-05-10,312.0,29404.800000000003,35892.48,1.2206333659810642
114.96,115.4,113.92,114.0,1758750,2018-05-11,312.0,29404.800000000003,35867.52,1.219784524975514
114.4,115.2,114.28,115.04,2033307,2018-05-14,320.0,30320.000000000004,36608.0,1.2073878627968335
114.96,115.52,114.0,115.2,2236963,2018-05-15,320.0,30320.000000000004,36787.2,1.2132981530343006
114.72,115.84,114.4,115.68,1683020,2018-05-16,320.0,30320.000000000004,36710.4,1.2107651715039578
116.32,117.04,115.16,115.92,2149868,2018-05-17,320.0,30320.000000000004,37222.399999999994,1.2276517150395776
115.52,116.0,114.96,115.44,1557264,2018-05-18,320.0,30320.000000000004,36966.4,1.2192084432717678
115.84,117.36,115.72,117.36,1681883,2018-05-21,328.0,31246.720000000005,37995.520000000004,1.2159842697089487
117.2,117.92,116.4,116.48,2459500,2018-05-22,328.0,31246.720000000005,38441.6,1.2302603281240396
116.24,116.64,115.12,116.08,2011440,2018-05-23,328.0,31246.720000000005,38126.72,1.2201831104192695
114.32,115.2,114.16,114.32,1931740,2018-05-24,328.0,31246.720000000005,37496.96,1.2000286750097289
111.44,111.44,109.2,109.44,5070306,2018-05-25,328.0,31246.720000000005,36552.32,1.169797021895418
108.56,108.8,106.64,108.08,3289130,2018-05-29,328.0,31246.720000000005,35607.68,1.1395653687811071
108.64,110.8,108.64,110.64,3015108,2018-05-30,328.0,31246.720000000005,35633.92,1.1404051369231711
108.64,110.28,107.68,108.4,3030751,2018-05-31,328.0,31246.720000000005,35633.92,1.1404051369231711
107.28,108.12,106.0,106.0,2868512,2018-06-01,328.0,31246.720000000005,35187.840000000004,1.1261290785080802
106.4,106.67,104.48,104.96,2484442,2018-06-04,337.0,32204.320000000003,35856.8,1.113415839862478
104.24,106.08,104.0,105.76,2788659,2018-06-05,337.0,32204.320000000003,35128.88,1.0908126611585027
105.52,106.0,104.0,105.28,2116213,2018-06-06,337.0,32204.320000000003,35560.24,1.104207137427525
105.68,106.88,105.57,106.8,1776827,2018-06-07,337.0,32204.320000000003,35614.16,1.105881446961153
106.48,107.15,105.44,106.16,1979262,2018-06-08,337.0,32204.320000000003,35883.76,1.1142529946292918
105.36,107.32,105.16,106.88,1836322,2018-06-11,346.0,33152.560000000005,36454.56,1.0996001515418414
106.72,107.88,106.64,107.2,2434166,2018-06-12,346.0,33152.560000000005,36925.12,1.1137939272261326
106.8,108.12,106.6,107.76,2182113,2018-06-13,346.0,33152.560000000005,36952.799999999996,1.1146288552075614
