Open,High,Low,Close,Volume,Date
108.64,110.8,108.64,110.64,3015108,2018-05-30
108.64,110.28,107.68,108.4,3030751,2018-05-31
107.28,108.12,106.0,106.0,2868512,2018-06-01
106.4,106.67,104.48,104.96,2484442,2018-06-04
104.24,106.08,104.0,105.76,2788659,2018-06-05
105.52,106.0,104.0,105.28,2116213,2018-06-06
105.68,106.88,105.57,106.8,1776827,2018-06-07
106.48,107.15,105.44,106.16,1979262,2018-06-08
105.36,107.32,105.16,106.88,1836322,2018-06-11
106.72,107.88,106.64,107.2,2434166,2018-06-12
106.8,108.12,106.6,107.76,2182113,2018-06-13
108.4,108.5,107.2,108.16,1667250,2018-06-14
107.52,107.52,104.32,104.4,3436807,2018-06-15
105.36,106.64,104.96,106.32,2223116,2018-06-18
104.8,105.68,104.08,105.12,1999770,2018-06-19
106.56,107.52,105.2,106.24,2540238,2018-06-20
105.12,107.28,104.96,106.48,2245380,2018-06-21
109.68,112.24,108.73,112.16,4123494,2018-06-22
112.08,112.4,109.84,110.16,3099946,2018-06-25
111.28,114.45,110.32,114.16,4206998,2018-06-26
115.92,118.4,115.84,117.2,4305112,2018-06-27
117.84,119.92,117.52,118.88,3882687,2018-06-28
119.44,120.64,119.36,120.48,2701252,2018-06-29
120.0,120.48,118.97,119.68,2692019,2018-07-02
121.52,122.0,117.84,119.36,2636365,2018-07-03
120.0,120.4,117.6,118.24,2737153,2018-07-05
117.36,119.84,117.28,119.68,2368135,2018-07-06
119.76,120.24,118.48,120.24,1612272,2018-07-09
120.88,121.36,119.84,120.56,1926900,2018-07-10
119.04,120.24,113.73,114.48,4801040,2018-07-11
115.04,115.6,113.12,115.12,2938801,2018-07-12
115.36,117.28,115.16,115.76,2398042,2018-07-13
113.6,113.84,110.88,111.52,3900275,2018-07-16
110.72,112.4,110.08,111.6,6807061,2018-07-17
110.8,112.88,110.24,112.8,2784428,2018-07-18
112.64,114.32,112.24,113.04,2766292,2018-07-19
113.44,113.8,112.56,113.2,2851186,2018-07-20
114.56,115.2,112.4,112.72,2936998,2018-07-23
112.88,114.8,112.88,113.84,2495564,2018-07-24
114.24,115.84,113.36,115.36,2686585,2018-07-25
114.72,116.32,114.72,115.76,1978292,2018-07-26
115.6,116.0,113.54,114.56,1882916,2018-07-27
116.72,117.12,116.16,116.32,2155037,2018-07-30
115.04,115.2,113.92,114.24,2030491,2018-07-31
112.72,113.76,111.92,112.72,2264226,2018-08-01
112.08,115.36,111.84,114.88,2169659,2018-08-02
114.48,114.8,112.91,114.16,2062802,2018-08-03
115.2,116.32,114.4,114.48,2556026,2018-08-06
115.44,115.86,114.72,114.88,1672352,2018-08-07
113.48,113.52,110.4,111.2,3610016,2018-08-08
111.76,112.24,110.96,111.04,2018683,2018-08-09
112.08,112.96,111.95,112.64,2255277,2018-08-10
112.08,112.4,109.44,112.08,3423044,2018-08-13
113.76,113.84,111.12,111.92,2367782,2018-08-14
110.24,110.32,107.52,108.08,5946032,2018-08-15
108.56,109.2,108.16,109.04,2308626,2018-08-16
110.48,110.56,108.88,109.52,2552366,2018-08-17
109.52,110.4,109.24,110.08,2190329,2018-08-20
111.68,111.84,110.48,110.64,1340447,2018-08-21
113.04,114.56,112.44,114.16,2537694,2018-08-22
113.6,114.48,113.24,114.16,1441387,2018-08-23
116.0,116.64,114.88,115.44,1787910,2018-08-24
115.84,116.04,115.28,116.0,1358447,2018-08-27
116.08,116.08,114.8,115.44,1341259,2018-08-28
116.24,117.36,115.8,117.28,2214942,2018-08-29
117.52,118.64,117.12,118.0,1791734,2018-08-30
117.84,118.24,117.2,117.68,1375350,2018-08-31
118.8,118.96,116.24,116.64,1879480,2018-09-04
116.64,117.12,115.48,115.92,1609201,2018-09-05
115.68,115.92,112.8,114.4,1942388,2018-09-06
113.04,114.32,112.57,114.24,1718588,2018-09-07
115.04,115.36,113.38,113.68,1242658,2018-09-10
114.16,117.04,113.84,116.8,1551404,2018-09-11
118.0,119.68,117.84,118.24,2331057,2018-09-12
116.88,117.36,115.12,115.92,2303343,2018-09-13
115.84,117.68,114.48,116.0,2044781,2018-09-14
116.88,117.28,115.36,115.76,1802908,2018-09-17
117.52,118.48,116.68,117.52,1835955,2018-09-18
117.92,119.6,117.84,119.52,2182924,2018-09-19
120.16,120.36,118.24,118.4,1846080,2018-09-20
119.92,121.21,118.24,119.68,3544984,2018-09-21
121.76,122.85,121.36,122.0,3086345,2018-09-24
122.56,122.88,121.44,122.16,2287983,2018-09-25
121.36,121.92,120.72,120.88,1383155,2018-09-26
122.08,122.16,121.2,122.08,1472736,2018-09-27
